# <C_{\ell}^{kg}>_MC averaged over MC simulations
1.900000000000000000e+01 1.663345372313781816e-08
3.900000000000000000e+01 7.662817622811125956e-08
5.900000000000000000e+01 -8.294406431472076799e-09
7.900000000000000000e+01 1.204371663136838538e-08
9.900000000000000000e+01 -1.901614425727390884e-08
1.190000000000000000e+02 5.608958995083358512e-09
1.390000000000000000e+02 -1.514978729206344193e-09
1.590000000000000000e+02 -1.028015144221241833e-08
1.790000000000000000e+02 -7.312256809829747405e-09
1.990000000000000000e+02 -6.470068828920322642e-09
2.190000000000000000e+02 5.700838008696520890e-09
2.390000000000000000e+02 8.156719736823678575e-09
