# Each row is C_{\ell}^{kg} between 2MPZ map and 100 Planck simulations 2015
-4.108071105635575516e-07 -1.094508295009467798e-07 3.510108230394783781e-08 1.818125272300138280e-07 -8.684536461938345054e-08 9.738103047418708956e-08 4.180024457320705645e-08 2.299493909992816156e-08 2.851191529350595583e-08 1.023550998451155542e-09 1.390584902678645123e-08 1.489190370284011902e-08
8.648032177355767368e-07 7.063047165428745062e-07 9.362774671112468590e-08 -4.341185658804669339e-08 -6.440891220784051387e-08 1.891509542470725783e-08 -1.536003045607724684e-08 -9.311686781608664475e-08 4.875167719598582655e-08 -2.020643601034613929e-08 -4.541857251707001243e-08 -3.695300706264252577e-08
8.558800050323822051e-07 2.641683929723039910e-07 7.021667587724576379e-08 2.018037541539868635e-07 -2.175263165726990066e-08 8.280804533896833205e-08 1.472335965104740443e-08 -2.151430687275184692e-08 6.207350938833460397e-09 7.212900372515658710e-08 -9.909783836149731648e-08 -3.229898243707188380e-08
-1.948079784123557816e-08 4.309376464988061124e-07 2.881972282288305065e-07 2.110401568307519674e-07 -4.492858686759964693e-08 -1.134600115485686610e-08 6.039605319964340315e-08 -4.956958453234943373e-08 -7.944939077956695581e-08 -3.019972649472615576e-09 1.233646709003452677e-07 1.191328756761439131e-08
-4.831706103271605009e-08 -3.403714230810685673e-07 -1.515636949418397518e-07 -9.309308084812692428e-09 -5.568671883990632014e-08 1.823914154469229306e-08 9.497581559460675961e-08 -8.362331830934779703e-08 4.540361216010726902e-08 1.778142720501229040e-08 -7.466125579942675206e-08 -2.318688820295189513e-08
-4.351170706817815907e-07 5.674016625990420876e-08 2.328869693486897480e-07 -8.491978715553629623e-08 6.286117200426888536e-08 -5.026817786552893476e-08 -1.500611336879123178e-07 1.392615697181041315e-08 -1.314510100442087540e-07 3.232605669229233531e-08 1.165342545259940646e-07 1.182154006872433037e-07
1.396941383763565687e-07 4.339476646410309358e-08 -1.600581824103582814e-07 1.246460288498169416e-08 -1.476826943471078960e-07 -8.301474950751008240e-08 3.084295781048852121e-08 3.417174228650881534e-08 -2.679181925124191118e-08 1.252822692062234253e-07 -6.266764389090395277e-09 -5.373578329776467439e-09
-3.909900090660507975e-07 1.681988688988144342e-07 -2.745973590979409563e-08 -3.067449178110270605e-07 8.271667321234221685e-08 -5.760757382041278121e-08 -7.363084144497361644e-08 1.515369916648826109e-08 -3.985637694257640794e-08 -1.154799905091126362e-07 -5.005268983000685219e-08 6.089662925692625233e-08
7.617706641373915477e-07 -8.343824942628014268e-08 8.110511826676327449e-08 -8.759998259105682893e-08 -5.787734195463676095e-09 -1.481331255964891484e-07 -1.872983783640806039e-07 9.659442828410581432e-09 3.594085133816164216e-09 -4.235771577419078690e-08 -2.894614629643404943e-08 -4.308908072598441036e-08
-1.018739617994430963e-07 5.276379609225859470e-07 1.877194291772583030e-07 -2.619767494147363286e-08 1.065267713682485943e-07 1.991770741119379065e-07 1.007993541877694119e-08 9.545088068606391802e-08 7.236164559944547390e-08 8.860095060929561870e-08 5.638370457843761230e-09 -1.465773423948194699e-08
