# Each row is C_{\ell}^{kg} between 2MPZ map and 100 Planck simulations 2015
2.225136653482779571e-07 -1.117466187632314170e-08 -1.980404034183962633e-07 -1.344162612454365029e-07 -3.714873797758778600e-08 -1.135259538051185759e-07 -1.154459614330778653e-07 -5.422886526703005695e-08 5.219231032946406729e-08 6.768648783716210948e-08 -6.570792095089654692e-08 2.290925357012742929e-08
1.561399184298728877e-07 -2.816595560410769948e-07 5.063753568875846238e-08 -1.618707993643818936e-07 -5.372507129774931854e-08 -7.924420302783567309e-08 -2.606565894871406461e-08 -1.054483490421952517e-07 -8.234544777752262183e-09 -2.071649520004427141e-08 8.996343456011302581e-08 -1.788536748097564731e-09
9.653463462811114731e-08 -9.179872744886295783e-08 -1.428294509093795014e-07 2.316359716088269515e-07 -1.765114145461003964e-08 -1.683326324178273415e-07 -4.783990746842532375e-08 -2.391869439047381997e-08 -3.921868775873285763e-08 6.172581672176585403e-08 -6.699735277138388618e-08 1.479793071795675236e-07
-8.392548832791166054e-07 -4.325328111416172403e-07 -2.524556863801570093e-07 1.421073494930059568e-07 9.003096807528308765e-09 3.699157648289593348e-08 4.464955580891739095e-08 4.962760007732999631e-08 -1.161161183191653334e-07 5.346365062781489369e-08 -1.036151336986948377e-08 5.355522904837861335e-08
7.995478240738983082e-07 4.318238521021770635e-07 -2.508139754416604757e-07 -2.010716746863404185e-07 7.580233419024006625e-08 5.770162203427319114e-08 -7.789957756308883244e-08 5.731853869643632275e-08 6.749773893205974487e-08 3.675870945876525509e-08 8.362397601746893011e-08 9.361070443154153033e-08
-3.122026128416375081e-07 2.602490086860758481e-07 -1.607400661824361233e-07 1.355628289510184101e-07 -2.179056080772355611e-07 -4.528838052597747361e-08 -6.099745165211946444e-08 7.597653640829244969e-08 -5.109740936554880002e-08 -1.264014947023453601e-07 2.340980057844500184e-08 1.541523333625965669e-08
1.238118494078924215e-06 -2.232281209332840399e-07 -1.973725746872331340e-07 2.701373983789789122e-08 -6.783203784841839875e-08 -1.197796869811424599e-07 -8.255251918490321635e-08 3.930957610447525042e-08 -3.651456079382062204e-08 -2.266801676834091965e-08 8.326130320053878999e-08 -1.427943776921336887e-08
2.552501502458109473e-07 4.741046401745798567e-08 -2.489848500486071653e-08 -7.594723522374476270e-08 5.977057843296695668e-08 2.087238600505697911e-08 -5.017765686207206745e-08 5.789277171648408437e-08 -4.124630408943090507e-08 9.908352539828824564e-08 4.524185372491703462e-09 -2.774014456684467406e-08
-4.330351825773554027e-07 -1.708149785828580196e-07 4.965924139369591166e-09 7.282539287451576289e-08 5.036509641574486578e-08 1.154518262225993565e-07 5.611919481238126953e-08 2.539130766283308697e-08 9.426035640996569942e-08 -4.395340772672533457e-08 -2.795473311264402192e-08 3.382418200298165270e-08
-1.056703189572357533e-06 9.632558271913476156e-07 5.369341424746477444e-08 7.350604185838576929e-08 -8.896928778600920267e-08 1.979023896512584628e-07 -3.556178669601202420e-08 -2.579660143548445147e-08 6.631469358208214644e-08 7.886538390307009084e-08 1.236345815439792995e-07 5.637346804637825165e-08
5.762361735761811571e-07 4.897499732912107307e-08 1.004250760085184105e-07 2.414505596010700883e-07 -1.055726346228831057e-07 -4.538071168469683137e-08 -6.433840796619638530e-08 6.287707277889078540e-08 4.672372930746991418e-08 -1.356527724099249008e-07 -1.361700876431019556e-08 1.036288276412520785e-07
3.666784647213150850e-07 7.789249702096299793e-07 1.046507817323407437e-07 3.219319162570252394e-08 1.456025340749370451e-07 -1.628873216606599912e-08 -1.493973188151136089e-07 -7.378262431815450085e-08 -6.676944453308324571e-08 4.159835537316989767e-08 9.786102174174189671e-08 -2.373074060207548143e-08
4.017127815872035707e-07 -1.371352413537089324e-07 -1.802563921499917361e-07 -4.005302833021181447e-08 1.596102522357302209e-07 1.727777955170164549e-07 -5.328240206058382247e-08 1.828738869818085577e-09 -9.134119538925472189e-08 -3.361092366685558043e-08 6.607036964173130894e-08 6.581040705275543447e-08
-4.238497705761770361e-08 -1.844887144267148700e-07 3.338693645132463732e-08 -6.630251268358881940e-08 -1.888422329884472012e-07 9.376396737055448571e-08 -3.554206916409823435e-08 -4.401218380289073782e-08 6.252357507552164758e-08 -1.166168748219643032e-07 6.758277453624225645e-08 7.315298851466624772e-08
-3.320079666536543194e-07 1.554928895615948307e-07 -1.445725867464106086e-07 1.492213575669726284e-07 6.961212429332462581e-08 4.501567523408319248e-10 1.826500961285186036e-07 -5.808867854338991783e-09 6.204551108553695860e-08 1.058967944452134930e-07 1.281130337967181192e-08 -4.296525951145057148e-08
-1.619900780391979072e-07 2.147634351649036483e-07 2.330584179784036268e-07 9.042014725711774009e-08 -2.248369973046331554e-07 -1.640106516834941553e-07 -1.200335311320340871e-07 -2.953500721293179602e-08 -7.659882454633271066e-08 -1.020452679290285033e-07 8.882411530910215701e-08 7.474339266779594708e-08
-6.857233261916329690e-08 2.063969895017497651e-07 1.271141388630130247e-07 9.199893729777600613e-08 3.066120855358021491e-08 -2.279928801714506556e-08 -5.226501890235528717e-08 7.274869925040762738e-08 5.890414689461994922e-08 -3.200846532630975960e-09 -1.788997663128916467e-08 4.776718033900721693e-09
-6.142479412168687373e-07 1.329786348807310793e-07 -2.658835369674472682e-07 -2.407092219345023564e-07 1.379292259654993320e-07 -1.036674243390123778e-07 4.079776164016830997e-08 1.465907455323109044e-08 5.310819935800543214e-08 -1.275197309337076777e-07 1.344267842709910132e-07 3.601460927544933046e-08
-4.459889286895501078e-07 -6.437061280500965674e-07 -1.511522204365801368e-07 -1.036039339557185515e-07 -1.700576627823330416e-07 1.461635550029947229e-07 -1.816240283700531119e-08 -1.559919761724539861e-08 -2.734977537443453520e-08 -4.831183043241192248e-08 -1.432239106602697828e-07 -1.121202743345070442e-08
-5.921109062336814385e-07 5.580090519652137406e-07 -3.579562825273841765e-07 -2.007321984731213475e-07 1.404320282134497538e-07 2.044309838469401596e-09 9.935898930557689281e-09 -1.004042252369437284e-07 2.521894942351375650e-08 -4.228826049229844545e-08 -7.993188728765198296e-08 7.433849618900437715e-08
1.875147968207766958e-07 1.891306661476841986e-07 4.889275677400900746e-08 -2.245172417821937452e-08 3.035798935404318804e-08 1.648875646054835497e-08 -4.318863854090688317e-08 5.869329375650118305e-09 -1.872910582429851698e-07 -2.465938677163206609e-09 2.283342118672288707e-09 -1.038572516260048237e-08
-6.854990899764941194e-07 4.150631473839342993e-07 1.485316771811463494e-07 -9.713372794154149913e-08 1.776948525555310019e-07 -1.371093488444010923e-08 3.155718603143894042e-08 -6.635431822635863826e-08 2.789950936890764146e-08 -5.533123101004365856e-08 7.733982474486445503e-09 1.093886736907536837e-08
1.136330270229316950e-06 8.628317492062854471e-07 1.003685461278926952e-07 4.138057008644869083e-09 -7.219460398455129540e-08 1.603390152890076073e-08 -4.984272087893673615e-08 -9.938963714284584516e-08 8.366581082772284785e-08 2.442954592925525098e-08 -1.416114591151975999e-07 -9.773613033620437787e-09
7.263242075950330975e-07 1.394416871561708940e-07 1.016025171162038758e-07 1.518804490385253563e-07 9.600168534113071115e-08 1.421284522113978366e-07 6.663654886294160698e-08 4.923383824413337857e-09 1.739306519393435727e-08 2.894919459041679415e-08 -2.225810380509109470e-08 -9.779220630096553257e-09
