1.400000000000000000e+01 1.396910892058139501e-03 1.503783970416190945e-04
2.400000000000000000e+01 6.489320591054034736e-04 5.489270678891776622e-05
3.400000000000000000e+01 4.458867774884667755e-04 3.243661894573089628e-05
4.400000000000000000e+01 2.852621165618245852e-04 1.904744791833767341e-05
5.400000000000000000e+01 2.686255053115227517e-04 1.619259347786639245e-05
6.400000000000000000e+01 2.026008278904771389e-04 1.164668726893083733e-05
7.400000000000000000e+01 1.641336885135222191e-04 9.092404234995593503e-06
8.400000000000000000e+01 1.282778234238173497e-04 6.881879658404691831e-06
9.400000000000000000e+01 1.118578420410006296e-04 5.932496411184316230e-06
1.040000000000000000e+02 1.096426361647832647e-04 5.460707249738412419e-06
1.140000000000000000e+02 9.691747621104831751e-05 4.828044706412504566e-06
1.240000000000000000e+02 9.364252178474993782e-05 4.509865109973955086e-06
1.340000000000000000e+02 8.044804610224260137e-05 3.935390483426553022e-06
1.440000000000000000e+02 7.056890042109057251e-05 3.498431227116602262e-06
1.540000000000000000e+02 7.158774281038330267e-05 3.348954747750517244e-06
1.640000000000000000e+02 5.969199109465717778e-05 2.950331649110144646e-06
1.740000000000000000e+02 6.552635861023934564e-05 2.904664978409434680e-06
1.840000000000000000e+02 5.965623695023356958e-05 2.698924762259827720e-06
1.940000000000000000e+02 5.677890041234276002e-05 2.540789061170832475e-06
2.040000000000000000e+02 5.265710990149492858e-05 2.459519265598315934e-06
2.140000000000000000e+02 4.498271699375887690e-05 2.180653166499030604e-06
2.240000000000000000e+02 4.633589846010614804e-05 2.173574883647811518e-06
2.340000000000000000e+02 4.297064423705099153e-05 2.083683954407118846e-06
2.440000000000000000e+02 4.142171100165765053e-05 1.968135053639565615e-06
