1.900000000000000000e+01 2.445801303827165484e-06 9.858582858651295290e-07
3.900000000000000000e+01 1.160842254700341592e-06 4.824921143892279646e-07
5.900000000000000000e+01 5.099551451895399398e-07 2.983928387305063453e-07
7.900000000000000000e+01 5.622264995372613302e-07 2.169226301520065450e-07
9.900000000000000000e+01 2.619308632794072882e-07 1.718728815241106474e-07
1.190000000000000000e+02 2.228295778941950982e-07 1.496821589881911937e-07
1.390000000000000000e+02 1.579829313448726744e-07 1.268870694187719001e-07
1.590000000000000000e+02 4.852309402868299793e-08 1.176949071203055085e-07
1.790000000000000000e+02 1.002153616608841828e-07 1.078240191799062272e-07
1.990000000000000000e+02 1.511330354913296158e-07 1.064657965746248714e-07
2.190000000000000000e+02 2.961436952915214767e-08 1.021349093556389012e-07
2.390000000000000000e+02 1.478855663390949684e-07 1.015276674429104484e-07
